,jaccard index-1,jaccard index-50,jaccard index-100,jaccard index-250
2016-03-29,,,,
2016-03-30,,,,
2016-03-31,1.0,,,
2016-04-01,1.0,,,
2016-04-02,0.3333333333333333,,,
2016-04-03,1.0,,,
2016-04-04,1.0,,,
2016-04-05,0.25,,,
2016-04-06,0.8571428571428571,,,
2016-04-07,0.9333333333333333,,,
2016-04-08,0.8333333333333334,,,
2016-04-09,0.9444444444444444,,,
2016-04-10,1.0,,,
2016-04-11,1.0,,,
2016-04-12,0.8947368421052632,,,
2016-04-13,0.95,,,
2016-04-14,1.0,,,
2016-04-15,0.85,,,
2016-04-16,0.8888888888888888,,,
2016-04-17,1.0,,,
2016-04-18,1.0,,,
2016-04-19,0.9444444444444444,,,
2016-04-20,0.9444444444444444,,,
2016-04-21,0.8947368421052632,,,
2016-04-22,0.8260869565217391,,,
2016-04-23,1.0,,,
2016-04-24,0.8260869565217391,,,
2016-04-25,1.0,,,
2016-04-26,0.8636363636363636,,,
2016-04-27,0.875,,,
2016-04-28,0.9130434782608695,,,
2016-04-29,0.9047619047619048,,,
2016-04-30,0.95,,,
2016-05-01,1.0,,,
2016-05-02,1.0,,,
2016-05-03,0.9090909090909091,,,
2016-05-04,1.0,,,
2016-05-05,0.7777777777777778,,,
2016-05-06,0.8666666666666667,,,
2016-05-07,0.9666666666666667,,,
2016-05-08,0.8620689655172413,,,
2016-05-09,1.0,,,
2016-05-10,0.9259259259259259,,,
2016-05-11,0.9285714285714286,,,
2016-05-12,0.9285714285714286,,,
2016-05-13,0.9,,,
2016-05-14,0.875,,,
2016-05-15,0.8666666666666667,,,
2016-05-16,1.0,,,
2016-05-17,1.0,,,
2016-05-18,1.0,,,
2016-05-19,0.9259259259259259,0.020833333333333332,,
2016-05-20,0.7428571428571429,0.018867924528301886,,
2016-05-21,0.9722222222222222,0.018518518518518517,,
2016-05-22,0.8333333333333334,0.05555555555555555,,
2016-05-23,1.0,0.05555555555555555,,
2016-05-24,0.8823529411764706,0.05357142857142857,,
2016-05-25,0.8648648648648649,0.2033898305084746,,
2016-05-26,0.9444444444444444,0.23333333333333334,,
2016-05-27,0.8947368421052632,0.24193548387096775,,
2016-05-28,0.9,0.28125,,
2016-05-29,0.8461538461538461,0.28125,,
2016-05-30,1.0,0.28125,,
2016-05-31,0.868421052631579,0.2727272727272727,,
2016-06-01,0.925,0.27941176470588236,,
2016-06-02,0.875,0.2898550724637681,,
2016-06-03,0.8461538461538461,0.2857142857142857,,
2016-06-04,0.8974358974358975,0.2777777777777778,,
2016-06-05,0.9736842105263158,0.2916666666666667,,
2016-06-06,1.0,0.2916666666666667,,
2016-06-07,0.9736842105263158,0.2876712328767123,,
2016-06-08,0.8536585365853658,0.26666666666666666,,
2016-06-09,0.926829268292683,0.2597402597402597,,
2016-06-10,0.9512195121951219,0.2857142857142857,,
2016-06-11,0.8604651162790697,0.31645569620253167,,
2016-06-12,0.926829268292683,0.27848101265822783,,
2016-06-13,1.0,0.27848101265822783,,
2016-06-14,0.95,0.275,,
2016-06-15,0.9069767441860465,0.2716049382716049,,
2016-06-16,0.8636363636363636,0.2839506172839506,,
2016-06-17,0.9069767441860465,0.26506024096385544,,
2016-06-18,0.9523809523809523,0.26506024096385544,,
2016-06-19,1.0,0.27710843373493976,,
2016-06-20,1.0,0.27710843373493976,,
2016-06-21,0.9523809523809523,0.27058823529411763,,
2016-06-22,0.9534883720930233,0.27906976744186046,,
2016-06-23,0.8333333333333334,0.27906976744186046,,
2016-06-24,0.9375,0.3372093023255814,,
2016-06-25,0.8148148148148148,0.37362637362637363,,
2016-06-26,0.9411764705882353,0.3516483516483517,,
2016-06-27,1.0,0.3516483516483517,,
2016-06-28,0.9230769230769231,0.34782608695652173,,
2016-06-29,0.8867924528301887,0.358695652173913,,
2016-06-30,0.7959183673469388,0.358695652173913,,
2016-07-01,0.7857142857142857,0.35106382978723405,,
2016-07-02,0.7317073170731707,0.3711340206185567,,
2016-07-03,0.9722222222222222,0.36082474226804123,,
2016-07-04,1.0,0.36082474226804123,,
2016-07-05,1.0,0.36082474226804123,,
2016-07-06,0.918918918918919,0.35353535353535354,,
2016-07-07,0.8181818181818182,0.35,,
2016-07-08,0.9361702127659575,0.35294117647058826,0.00980392156862745,
2016-07-09,0.9583333333333334,0.4019607843137255,0.00980392156862745,
2016-07-10,0.9148936170212766,0.37254901960784315,0.00980392156862745,
