,network density-1,network density-50,network density-100,network density-250
2016-03-29,,,,
2016-03-30,0.0004432624113475177,0.0004432624113475177,0.0004432624113475177,0.0004432624113475177
2016-03-31,0.0004432624113475177,0.0004432624113475177,0.0004432624113475177,0.0004432624113475177
2016-04-01,0.0004432624113475177,0.0004432624113475177,0.0004432624113475177,0.0004432624113475177
2016-04-02,0.0013297872340425532,0.0013297872340425532,0.0013297872340425532,0.0013297872340425532
2016-04-03,0.0013297872340425532,0.0013297872340425532,0.0013297872340425532,0.0013297872340425532
2016-04-04,0.0013297872340425532,0.0013297872340425532,0.0013297872340425532,0.0013297872340425532
2016-04-05,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.005319148936170213
2016-04-06,0.0062056737588652485,0.0062056737588652485,0.0062056737588652485,0.0062056737588652485
2016-04-07,0.006648936170212766,0.006648936170212766,0.006648936170212766,0.006648936170212766
2016-04-08,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.007978723404255319
2016-04-09,0.007535460992907801,0.007978723404255319,0.007978723404255319,0.007978723404255319
2016-04-10,0.007535460992907801,0.007978723404255319,0.007978723404255319,0.007978723404255319
2016-04-11,0.007535460992907801,0.007978723404255319,0.007978723404255319,0.007978723404255319
2016-04-12,0.008421985815602837,0.008421985815602837,0.008421985815602837,0.008421985815602837
2016-04-13,0.008865248226950355,0.008865248226950355,0.008865248226950355,0.008865248226950355
2016-04-14,0.008865248226950355,0.008865248226950355,0.008865248226950355,0.008865248226950355
2016-04-15,0.007535460992907801,0.008865248226950355,0.008865248226950355,0.008865248226950355
2016-04-16,0.007535460992907801,0.009308510638297872,0.009308510638297872,0.009308510638297872
2016-04-17,0.007535460992907801,0.009308510638297872,0.009308510638297872,0.009308510638297872
2016-04-18,0.007535460992907801,0.009308510638297872,0.009308510638297872,0.009308510638297872
2016-04-19,0.007978723404255319,0.009308510638297872,0.009308510638297872,0.009308510638297872
2016-04-20,0.007535460992907801,0.009308510638297872,0.009308510638297872,0.009308510638297872
2016-04-21,0.008421985815602837,0.010195035460992909,0.010195035460992909,0.010195035460992909
2016-04-22,0.010195035460992909,0.01152482269503546,0.01152482269503546,0.01152482269503546
2016-04-23,0.010195035460992909,0.01152482269503546,0.01152482269503546,0.01152482269503546
2016-04-24,0.008421985815602837,0.01152482269503546,0.01152482269503546,0.01152482269503546
2016-04-25,0.008421985815602837,0.01152482269503546,0.01152482269503546,0.01152482269503546
2016-04-26,0.00975177304964539,0.011968085106382979,0.011968085106382979,0.011968085106382979
2016-04-27,0.010195035460992909,0.012854609929078014,0.012854609929078014,0.012854609929078014
2016-04-28,0.009308510638297872,0.012854609929078014,0.012854609929078014,0.012854609929078014
2016-04-29,0.008421985815602837,0.012854609929078014,0.012854609929078014,0.012854609929078014
2016-04-30,0.008865248226950355,0.013297872340425532,0.013297872340425532,0.013297872340425532
2016-05-01,0.008865248226950355,0.013297872340425532,0.013297872340425532,0.013297872340425532
2016-05-02,0.008865248226950355,0.013297872340425532,0.013297872340425532,0.013297872340425532
2016-05-03,0.00975177304964539,0.01374113475177305,0.01374113475177305,0.01374113475177305
2016-05-04,0.00975177304964539,0.01374113475177305,0.01374113475177305,0.01374113475177305
2016-05-05,0.01152482269503546,0.015957446808510637,0.015957446808510637,0.015957446808510637
2016-05-06,0.013297872340425532,0.01773049645390071,0.01773049645390071,0.01773049645390071
2016-05-07,0.012854609929078014,0.01773049645390071,0.01773049645390071,0.01773049645390071
