,powerlaw alpha,powerlaw p-value
deposits abs. var.,3.009517305019718,3.791290586898219e-08
deposits rel. var.,1.915355765230442,0.0
deposits var over tot. assets,2.9201340131564724,2.7196780008836428e-06
