trade_date,90 abs. var.,183 abs. var.,472 abs. var.,697 abs. var.,741 abs. var.,795 abs. var.,884 abs. var.,896 abs. var.,903 abs. var.,989 abs. var.,1233 abs. var.,1246 abs. var.,2599 abs. var.,2964 abs. var.,3405 abs. var.,3947 abs. var.,4110 abs. var.,4260 abs. var.,4403 abs. var.,4434 abs. var.,4506 abs. var.,5064 abs. var.,5413 abs. var.,5685 abs. var.,6155 abs. var.,6244 abs. var.,6621 abs. var.,6855 abs. var.,7166 abs. var.,7211 abs. var.,7910 abs. var.,7964 abs. var.,8154 abs. var.,8198 abs. var.,8707 abs. var.,9033 abs. var.,9122 abs. var.,9711 abs. var.,9826 abs. var.,9883 abs. var.,9984 abs. var.,10508 abs. var.,11540 abs. var.,12340 abs. var.,12487 abs. var.,12642 abs. var.,13077 abs. var.,13310 abs. var.,13449 abs. var.,13582 abs. var.,14413 abs. var.,14431 abs. var.,14619 abs. var.,90 rel. var.,183 rel. var.,472 rel. var.,697 rel. var.,741 rel. var.,795 rel. var.,884 rel. var.,896 rel. var.,903 rel. var.,989 rel. var.,1233 rel. var.,1246 rel. var.,2599 rel. var.,2964 rel. var.,3405 rel. var.,3947 rel. var.,4110 rel. var.,4260 rel. var.,4403 rel. var.,4434 rel. var.,4506 rel. var.,5064 rel. var.,5413 rel. var.,5685 rel. var.,6155 rel. var.,6244 rel. var.,6621 rel. var.,6855 rel. var.,7166 rel. var.,7211 rel. var.,7910 rel. var.,7964 rel. var.,8154 rel. var.,8198 rel. var.,8707 rel. var.,9033 rel. var.,9122 rel. var.,9711 rel. var.,9826 rel. var.,9883 rel. var.,9984 rel. var.,10508 rel. var.,11540 rel. var.,12340 rel. var.,12487 rel. var.,12642 rel. var.,13077 rel. var.,13310 rel. var.,13449 rel. var.,13582 rel. var.,14413 rel. var.,14431 rel. var.,14619 rel. var.,884 var over tot. assets,9826 var over tot. assets,7211 var over tot. assets,741 var over tot. assets,896 var over tot. assets,13310 var over tot. assets,4506 var over tot. assets,11540 var over tot. assets,7964 var over tot. assets,12340 var over tot. assets,2599 var over tot. assets,6621 var over tot. assets,9984 var over tot. assets,1246 var over tot. assets,8154 var over tot. assets,4403 var over tot. assets,10508 var over tot. assets,7166 var over tot. assets,14413 var over tot. assets,12642 var over tot. assets,3947 var over tot. assets,3405 var over tot. assets,697 var over tot. assets,989 var over tot. assets,2964 var over tot. assets,1233 var over tot. assets,14431 var over tot. assets,9122 var over tot. assets,9883 var over tot. assets,4260 var over tot. assets,6855 var over tot. assets,8198 var over tot. assets,14619 var over tot. assets,9033 var over tot. assets
2016-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7021739130434783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002835283748280315,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8248175182481752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.919104134850636e-05,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-25,,,,118773.79999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39591266666666663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.258314571838733e-08,,,,,,,,,,,
2016-01-26,,,,99581226.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,40700000.0,,,,,,,,,,,,,,,,,,,,,,,,,237.79239818727916,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0356234096692112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003572633082198415,,,,,,,,,,,,,,5.247037974780878e-05,,,,,,,,,,,
2016-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008777968260929766,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000263339047827893,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0003950085717418395,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030303030303030304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.388984130464883e-05,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09294117647058824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0001386918985226903,,,,,,,,,,,,,,,,,,,,,,,,,
