,network density-1,network density-50,network density-100,network density-250
2016-01-08,,,,
2016-01-09,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-10,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-11,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-12,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-13,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-14,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-15,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-16,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-17,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-18,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-19,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-20,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365,0.0006988120195667365
2016-01-21,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049
2016-01-22,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049
2016-01-23,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049
2016-01-24,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049
2016-01-25,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049
2016-01-26,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049,0.0010482180293501049
2016-01-27,0.0017470300489168414,0.0017470300489168414,0.0017470300489168414,0.0017470300489168414
2016-01-28,0.002445842068483578,0.002445842068483578,0.002445842068483578,0.002445842068483578
2016-01-29,0.002445842068483578,0.002445842068483578,0.002445842068483578,0.002445842068483578
2016-01-30,0.002445842068483578,0.002445842068483578,0.002445842068483578,0.002445842068483578
2016-01-31,0.002445842068483578,0.002445842068483578,0.002445842068483578,0.002445842068483578
2016-02-01,0.002445842068483578,0.002445842068483578,0.002445842068483578,0.002445842068483578
2016-02-02,0.002795248078266946,0.002795248078266946,0.002795248078266946,0.002795248078266946
2016-02-03,0.002795248078266946,0.002795248078266946,0.002795248078266946,0.002795248078266946
2016-02-04,0.002795248078266946,0.002795248078266946,0.002795248078266946,0.002795248078266946
2016-02-05,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
2016-02-06,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
2016-02-07,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
2016-02-08,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
2016-02-09,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
2016-02-10,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
2016-02-11,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
2016-02-12,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
2016-02-13,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146,0.0031446540880503146
