,powerlaw alpha,powerlaw p-value
deposits abs. var.,3.592975856014812,0.042254814439534404
deposits rel. var.,1.5950056899302592,5.39812961191936e-31
deposits var over tot. assets,2.6916768426800077,0.0004961047588979186
