report_agent_lei,powerlaw alpha,powerlaw p-value
989 rel. var.,3.6230051367592773,1.5892636248977535e-07
1233 rel. var.,2.4559675155034215,0.00016501223459793803
1246 rel. var.,2.6149873011744442,0.9225723825416488
2599 rel. var.,2.5745457174670148,0.10765467874839588
2964 rel. var.,2.4862490612527512,0.10849589095152372
3405 rel. var.,5.167896980340331,0.6380929020981962
3947 rel. var.,2.8398003164330756,0.00048708308731203865
4110 rel. var.,4.606423016707498,0.5868517220410248
4260 rel. var.,7.0761736644019235,1.1047385830586462e-08
4403 rel. var.,2.7282445929827803,0.3650286299044886
4434 rel. var.,3.478300652289668,0.22958283174571148
4506 rel. var.,3.988705564305358,0.0011582689466748386
5064 rel. var.,2.7927813824628513,4.410033737799923e-16
5413 rel. var.,17.28829094551721,0.02577289673371553
5685 rel. var.,6.097211628425712,0.6108142008916598
6155 rel. var.,8.391430333318645,1.9884953397122522e-05
6244 rel. var.,6.509297104658808,0.48528540340201587
6621 rel. var.,3.138433416243146,4.128950367577036e-18
6855 rel. var.,6.842599308197303,1.0186268107457057e-06
7166 rel. var.,4.814159307618107,0.3900417405877171
7211 rel. var.,407.36007461785323,3.287552089104333e-07
7910 rel. var.,4.0066424862787775,3.546552447883102e-08
7964 rel. var.,84.17891757847772,0.015553033229211016
8154 rel. var.,389.2609397035798,0.10009481057149301
8198 rel. var.,5222.416210724383,0.9702113583998322
8707 rel. var.,16.12261066418605,0.030563257008224005
9033 rel. var.,5.734964623029059,3.9311043917578684e-10
9122 rel. var.,9.797547833699781,0.004134187390866171
9711 rel. var.,3.3579316076863828,0.005042691029631155
9826 rel. var.,31.39531988296707,0.10655499372136497
9883 rel. var.,16.428558383623237,6.903059228359306e-15
9984 rel. var.,2.1865774592521685,0.20403163745442887
10508 rel. var.,39.236255761841576,5.778302829835458e-24
11540 rel. var.,5.355165918556142,3.783612124018125e-15
12340 rel. var.,3.333936561238673,0.02708099742039406
12487 rel. var.,,
12642 rel. var.,4.325209434562797,0.09567283102318451
13077 rel. var.,87.0690468706983,0.0001131134085048928
13310 rel. var.,2.3028663277234216,4.1219107691545116e-22
13449 rel. var.,5.492048136865462,5.310981692780861e-09
13582 rel. var.,119.02976777540711,0.8008038383337625
14413 rel. var.,518.3097130415024,9.549406669980232e-07
14431 rel. var.,3.1753455156154065,0.008738991570194986
14619 rel. var.,4.516598998677964,0.2528714070235031
884 var over tot. assets,2.488241305281705,0.000854995114725986
9826 var over tot. assets,3.2805931806832653,0.04278621810273286
7211 var over tot. assets,3.5073568926656185,0.05228338262925299
741 var over tot. assets,3.2624940707708068,0.4456049697441905
896 var over tot. assets,2.7540195417931788,0.007530513694874058
13310 var over tot. assets,2.2994705207375206,0.005727998776359734
4506 var over tot. assets,3.2335716889241057,0.4526163469376647
11540 var over tot. assets,2.505052556314417,0.5347416853125295
7964 var over tot. assets,4.1479902559760475,0.7559319364347358
12340 var over tot. assets,2.884441396061412,0.30308743063305243
2599 var over tot. assets,3.0730852589230806,0.05889745401033622
6621 var over tot. assets,4.392935544177545,0.5871857169529668
9984 var over tot. assets,2.451813590911044,0.0003324534805511932
1246 var over tot. assets,3.5138093182592898,0.16694324703326358
8154 var over tot. assets,1.8992838619934842,0.00027614718610048916
4403 var over tot. assets,3.241152765345517,0.6036570114788378
10508 var over tot. assets,2.273599280151683,0.0510664622472414
7166 var over tot. assets,2.6738600236384196,0.3711984760964484
14413 var over tot. assets,2.0577715254576194,0.0003103281935802387
12642 var over tot. assets,,
3947 var over tot. assets,2.7237562120603114,0.006875528336850188
