report_agent_lei,total assets,cash,loans,own funds,deposits,securities collateral FINREP,securities collateral SHSG (nominal value),securities collateral SHSG (market value),cash over total assets,loans over total assets,own funds over total assets,deposits over total assets,securities collateral FINREP over total assets,securities collateral SHSG (nominal value) over total assets,securities collateral SHSG (market value) over total assets
5495,7524284000.0,2488381000.0,0.0,93010000.0,6690424000.0,0.0,0.0,0.0,0.3307133276734371,0.0,0.01236130906276265,0.8891774951610014,0.0,0.0,0.0
13310,1680872116596.56,19808591592.25,112842072559.8,3530938444.87,575411468241.2301,52665191836.08,0.0,0.0,0.011784710684807215,0.06713305042401638,0.0021006585866981155,0.34232911746214617,0.03133206346638482,0.0,0.0
4506,565898272885.5,9665254480.08,47996726125.740005,1138506941.0,357546949285.9,4413923886.66,0.0,0.0,0.017079491037845243,0.08481511329060255,0.002011857953187918,0.6318219482501295,0.0077998539634226505,0.0,0.0
11540,301960624000.0,2948464000.0,11398988000.0,2407151000.0,148441493000.0,3654796000.0,0.0,0.0,0.009764398950241936,0.037749915366448575,0.00797173806343704,0.4915922183284401,0.012103551620690782,0.0,0.0
3316,28685325635.61,1336216795.48,0.0,775155200.0,18622176147.26,163628428.11,0.0,0.0,0.0465818939081946,0.0,0.02702270874825703,0.6491882429301205,0.005704255555212225,0.0,0.0
14523,14125194092.42,262187625.44,0.0,60468571.8,12237640321.41,0.0,0.0,0.0,0.018561700725988443,0.0,0.00428090201128275,0.8663697108400855,0.0,0.0,0.0
7964,113921578464.91,4129743088.36,2267210927.64,286323453.46,60784493440.68,4599946954.09,0.0,0.0,0.036250753755418155,0.01990150556365705,0.002513338186831681,0.5335643541789826,0.040378188364962576,0.0,0.0
12340,264864653431.32,2718710355.36,24817674109.16,3483912867.65,153194265972.56,5676671281.55,0.0,0.0,0.010264526882462887,0.0936994566381251,0.01315355908202899,0.5783869760948817,0.021432347457498602,0.0,0.0
2599,232109506769.0,5575681597.0,1889457334.0,5524556645.0,145722878364.0,1098099889.0,0.0,0.0,0.024021771768913496,0.00814037029461454,0.02380150956288985,0.6278195167121109,0.004730956108975109,0.0,0.0
6621,178566041491.24,1032230483.18,2913691023.0,2508888888.88,96606284362.48,5368390654.48,0.0,0.0,0.005780665094883892,0.01631716197921618,0.01405020163928022,0.5410115134753618,0.030063894622110215,0.0,0.0
9984,200197727175.33,1787297343.86,2707607947.35,1607257810.0,125625857378.76999,361700763.71,0.0,0.0,0.008927660513821484,0.013524668763990113,0.008028351933248419,0.6275089090734225,0.001806717632679357,0.0,0.0
