tenor,trns_nominal_amt
1.0,16322807455.76
2.0,679827955.04
23.0,1680915600.0
24.0,4163696753.4
47.0,51475000000.0
62.0,9807771900.0
63.0,2110560000.0
68.0,76800000028.8
258.0,9909860184.0
259.0,4790400000.0
