,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,5,0,0,1,0,1,0,0,0,0,0,1
8,1,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,6,0,0,1,0,1,0,0,0,1,0,1
9,2,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,6,0,0,1,0,1,0,0,0,2,0,1
10,2,1,0,0,0,1,0,1,0,0,0,3,1,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,2,1,1
11,2,1,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,2,1,1
12,2,1,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,2,1,1
13,2,1,0,0,0,1,0,1,0,0,0,2,1,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,2,1,1
14,2,1,0,0,0,1,0,1,0,0,0,3,2,2,0,0,0,3,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,2,2,1
15,3,1,0,0,0,1,0,1,0,0,0,3,2,2,0,0,0,3,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,2,2,1
16,3,1,0,0,0,1,0,1,0,0,0,3,2,2,0,0,0,3,0,1,0,1,0,1,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,2,2,1
17,1,1,0,0,0,1,0,1,0,0,0,1,2,2,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,3,0,0,0,2,0,0,8,0,0,1,0,1,0,0,0,2,2,1
