report_agent_lei,powerlaw alpha,powerlaw p-value
884 rel. var.,2.1764500478891935,0.011852768145360872
896 rel. var.,1.7223605066084335,2.3527090829637737e-49
903 rel. var.,2.864786142315503,0.23959570228764338
989 rel. var.,4.185067562681013,0.1364496302444825
1233 rel. var.,3.5854551369504106,0.6741355184510482
1246 rel. var.,1.8463522872853866,3.194479734969562e-13
2599 rel. var.,2.102208083864123,0.0007688835960037044
2964 rel. var.,1.8348783744366162,1.0978995166016296e-06
3405 rel. var.,2.0660126334782127,4.754120057979245e-59
3947 rel. var.,1.9663680736196465,0.012235913947521427
4110 rel. var.,3.500425896691417,0.3498806121316347
4260 rel. var.,1.8213251133928328,0.0006383813290983395
4403 rel. var.,1.7668169071239346,1.9783748232487664e-37
4434 rel. var.,1.8439456108886203,7.232309445969806e-05
4506 rel. var.,2.1933872194302872,0.009771642262570476
5064 rel. var.,1.6057166669961074,3.999270663546884e-13
5413 rel. var.,2.029880117520695,0.04624930422209599
5685 rel. var.,1.7120849119136752,0.000375993291545724
6155 rel. var.,1.5893043716939372,4.661254501322418e-14
6244 rel. var.,2.32109184128156,0.013779141596547063
6621 rel. var.,1.8816547436487405,0.006225992425379576
6855 rel. var.,2.18295537557712,0.00036424186226752915
7166 rel. var.,2.5172716412393488,0.003188056493955257
7211 rel. var.,1.4869043975392369,7.234989429293178e-12
7910 rel. var.,1.956535874115495,3.9118085448939246e-05
7964 rel. var.,1.7302040420342193,0.0094589108417587
8154 rel. var.,1.5194659072155658,2.885716535349685e-05
8198 rel. var.,1.8368789090013289,0.00608727992335639
8707 rel. var.,1.4726725140466284,9.099455173325862e-31
9033 rel. var.,1.795021051761735,1.0035697441650652e-07
9122 rel. var.,1.519145339935379,1.1710589907820331e-19
9711 rel. var.,1.8349942766974197,6.7371907820894995e-06
9826 rel. var.,1.6549640766489029,3.1229191274215717e-16
9883 rel. var.,1.8600324866506657,1.1489294994510583e-07
9984 rel. var.,1.913152630367362,0.006277441789690982
10508 rel. var.,1.6798856673936888,4.4349398050837095e-05
11540 rel. var.,1.7514543084473702,1.0069873433027428e-09
12340 rel. var.,2.101778345465127,2.613529217590267e-06
12487 rel. var.,,
12642 rel. var.,2.069900551301666,7.412057829848843e-09
13077 rel. var.,2.1584276105449525,0.00013575449140920592
13310 rel. var.,1.6585469161066775,8.37196944136797e-06
13449 rel. var.,1.5516496580755597,2.5251001781909062e-09
13582 rel. var.,2.0853015195474836,0.2626706709589033
14413 rel. var.,1.5212714918365244,8.159038326905463e-09
14431 rel. var.,1.9496656437142814,4.863395889022423e-56
14619 rel. var.,3.0010534287295907,0.001755256871845576
884 var over tot. assets,2.5126921022578017,0.013093483928813512
9826 var over tot. assets,3.801448314334136,0.10528300611618141
7211 var over tot. assets,2.3882719764404765,0.11824793591116294
741 var over tot. assets,3.236097462007601,0.15129370552396346
896 var over tot. assets,2.349011111355198,0.003260372251273986
13310 var over tot. assets,2.5174576696851414,0.2660320190373594
4506 var over tot. assets,2.602396950278001,0.0028947516562633164
11540 var over tot. assets,4.892896149140376,0.408716309858394
7964 var over tot. assets,4.142282559380103,0.05826517037027803
12340 var over tot. assets,4.329006363830738,0.4699044689757539
2599 var over tot. assets,2.6846023159848746,0.03798640865802963
6621 var over tot. assets,3.5024086808279478,0.7127968485077711
9984 var over tot. assets,2.64651633224073,0.4445556808048765
1246 var over tot. assets,3.2745484815870642,0.10666620578205827
8154 var over tot. assets,1.8491563669657731,0.000158665114372745
4403 var over tot. assets,3.464696443424955,0.6587912310342823
10508 var over tot. assets,2.543666284932754,0.09828856461141204
7166 var over tot. assets,3.3296944539658417,0.13437012187497294
14413 var over tot. assets,2.058222428932476,2.1153243885373416e-05
12642 var over tot. assets,,
3947 var over tot. assets,2.6116064881468537,0.0013928612831941804
3405 var over tot. assets,2.777169984906227,0.9105782775098357
697 var over tot. assets,3.713656470191317,0.0558322873449774
989 var over tot. assets,3.305162975385929,0.08876571257844647
2964 var over tot. assets,2.2746038418457077,3.3635494504266146e-13
1233 var over tot. assets,3.310222464735607,0.052147961352239244
14431 var over tot. assets,2.720496934855984,0.30078108745046017
9122 var over tot. assets,1.60001452108042,0.08731052008544092
9883 var over tot. assets,5.5268653764809965,6.897288966628327e-06
4260 var over tot. assets,5.212542298491627,0.6384292953520012
6855 var over tot. assets,2.5482501983459622,0.0024211673423405623
8198 var over tot. assets,2.8572897548865024,0.11011938348139012
14619 var over tot. assets,,
9033 var over tot. assets,,
