,repo transactions maturity av. network,repo transactions notional av. network,number repo transactions av. network
2016-08-02,,11979336.706119731,1353.0
2016-08-03,,10968442.659718182,1100.0
2016-08-04,,12926970.765528847,1248.0
2016-08-05,,11414824.54520548,949.0
2016-08-06,,15956315.852493549,1163.0
2016-08-07,,16817570.9207479,1190.0
2016-08-08,,17695545.87618454,1203.0
2016-08-09,,14855132.978246294,1551.0
2016-08-10,,17289946.623015597,1154.0
2016-08-11,,20586156.780571427,980.0
2016-08-12,,18141887.794157065,955.0
2016-08-13,,23763950.12273684,950.0
2016-08-14,,20591884.96743132,728.0
2016-08-15,,28805853.894927885,832.0
2016-08-16,,11986180.924750319,781.0
2016-08-17,,15814084.780912241,866.0
2016-08-18,,12100586.955708956,1072.0
2016-08-19,,12618854.801769465,989.0
2016-08-20,,10931640.335912963,1057.0
2016-08-21,,17642193.940436333,1123.0
2016-08-22,,15954381.918221734,911.0
2016-08-23,,9028241.602097826,920.0
2016-08-24,,10278568.788063008,857.0
2016-08-25,7.144258489795634,9846328.37584927,889.0
2016-08-26,,13474374.03167991,881.0
2016-08-27,3.438704662124054,12401093.256321961,938.0
2016-08-28,6.192193234165411,12360132.380106382,1034.0
2016-08-29,5.091762742862282,10464984.582735328,903.0
2016-08-30,48.388979768560716,10932107.952808218,876.0
2016-08-31,,8578139.095042905,1515.0
2016-09-01,15.313098275143217,10353079.807123948,1662.0
2016-09-02,,9208161.262567017,1231.0
2016-09-03,,7256639.0909705255,1391.0
2016-09-04,,10877692.388851676,1254.0
2016-09-05,,9370458.883011196,1697.0
2016-09-06,2.51433126273927,9183645.530774489,1317.0
2016-09-07,6.5756440510051215,9291007.57946006,1352.0
2016-09-08,11.163559721007108,11327735.199281853,1295.0
2016-09-09,,11003149.079985052,1338.0
2016-09-10,,10032543.504343973,1128.0
2016-09-11,14.539280037674093,18228292.97536585,1353.0
2016-09-12,8.562210216223585,11249491.957557106,1576.0
2016-09-13,8.968792576580542,13100739.91750946,1321.0
2016-09-14,,9443713.40523429,1878.0
2016-09-15,,8190876.9092,1250.0
2016-09-16,,9840174.938759234,1354.0
2016-09-17,6.945236997068036,9641406.235056,1250.0
2016-09-18,7.718570764785421,10581425.243850932,1771.0
2016-09-19,,11452178.977694174,1236.0
2016-09-20,14.765305108651052,9017575.318794163,1302.0
2016-09-21,7.977908428003879,13660175.403657695,1449.0
2016-09-22,,9908297.516396053,1318.0
2016-09-23,8.842096554797727,11297649.217364643,1533.0
2016-09-24,15.712589035172117,15846480.018564327,1609.0
2016-09-25,10.301696450802499,9009977.261497227,1623.0
2016-09-26,12.859451421349247,12960392.057386896,1282.0
2016-09-27,8.511567601040927,14471879.02243671,1264.0
2016-09-28,9.016063207574927,9052625.881642554,1175.0
2016-09-29,6.871949335671474,7577489.549869331,1301.0
2016-09-30,13.357157602149865,7617101.490118257,1353.0
2016-10-01,4.613813458987107,10434204.097634163,1323.0
2016-10-02,7.528499098856641,12565253.556698883,1345.0
2016-10-03,13.793133401311438,12691730.506758284,1419.0
2016-10-04,18.93488418206558,9627528.98830217,1337.0
2016-10-05,10.188612328726238,8038232.635077933,1219.0
2016-10-06,6.067284444331682,9782053.000271399,1437.0
2016-10-07,,7682024.433309581,1263.0
2016-10-08,,8867463.279625382,1308.0
2016-10-09,,8930041.508275863,1363.0
2016-10-10,9.59490919178079,6259922.932114569,1414.0
2016-10-11,8.917719741511075,7503383.186662059,1447.0
2016-10-12,,6286198.495590609,1363.0
2016-10-13,,7338964.76538678,1422.0
2016-10-14,,6679629.1534674475,1367.0
2016-10-15,16.471410381631802,9174516.162396345,1423.0
2016-10-16,6.849536119394723,8164146.281304348,1449.0
2016-10-17,4.967748148670292,7396250.465569462,1598.0
2016-10-18,18.84679688446435,8019339.789156779,1601.0
2016-10-19,16.305727531352808,8077175.607344708,1465.0
2016-10-20,17.18038612670105,8481652.05410628,1449.0
2016-10-21,8.190948565549736,10069709.077746298,1553.0
2016-10-22,,8896966.045918088,1465.0
2016-10-23,5.508508431565698,10638184.660804048,1679.0
2016-10-24,8.676258851958215,10838415.818619272,1702.0
2016-10-25,22.659727329341578,8958553.458815333,1722.0
2016-10-26,22.506816508136332,7843272.505920338,1657.0
2016-10-27,4.696478133356501,11009417.56484726,1735.0
2016-10-28,10.957945754570094,7267726.780488722,1596.0
2016-10-29,8.13057720186333,6435180.671184555,1528.0
2016-10-30,12.077650689541183,7942316.458051492,1709.0
2016-10-31,7.14672599153165,8671229.457078272,1482.0
2016-11-01,17.28896315318584,8144973.131917461,1575.0
2016-11-02,10.660946507167369,6765666.719227918,1619.0
2016-11-03,,9912985.149122095,1720.0
2016-11-04,,8356724.91815759,1726.0
2016-11-05,,10862844.562080896,1879.0
2016-11-06,13.424067566232043,9404974.748204134,1548.0
2016-11-07,8.915826994108484,8866161.23228005,1614.0
2016-11-08,,8311881.072173123,1652.0
2016-11-09,12.490986287127091,11535249.342962528,1708.0
2016-11-10,6.854964342417582,6723154.380584652,1642.0
2016-11-11,11.661899571885174,8730673.111387176,1622.0
2016-11-12,12.022593421234404,7157937.408770685,1692.0
2016-11-13,,7411947.467890081,1583.0
2016-11-14,20.880279208653608,10176121.888104139,1498.0
2016-11-15,,9174079.17234307,1609.0
2016-11-16,16.725110817462266,9104043.869195476,1591.0
2016-11-17,,10925165.155747836,1618.0
2016-11-18,10.587106951073897,10349602.909477968,1475.0
2016-11-19,,11289970.51436842,1520.0
2016-11-20,7.246066455443991,7985864.233643351,1301.0
2016-11-21,9.408110922645536,11289944.37813313,1307.0
2016-11-22,16.287468143405505,5750385.073340995,1305.0
2016-11-23,12.156374637462543,8830928.010970207,1309.0
2016-11-24,,9607951.97772451,1481.0
2016-11-25,,11416421.139860427,1218.0
2016-11-26,15.455145456092174,12145407.858945606,1195.0
